,Artists,Songs,Rating,Votes,Difficulty,Chords
432,shawn mendes,mercy,4.84,1749,novice,"['Bm7', 'G', 'D', 'Bm', 'A', 'Em']"
433,jason mraz,lucky,4.69,291,novice,"['C', 'Am', 'G', 'Dm', 'Em']"
434,simple plan,summer paradise,4.84,459,novice,"['G', 'F#7', 'D', 'Bm', 'A']"
435,taylor swift,shake it off,4.81,1133,,"['G', 'Am', 'C']"
436,taylor swift,love story,4.84,328,novice,"['G', 'B', 'E', 'D', 'Bm', 'C#m', 'A']"
437,john lennon,happy xmas war is over,4.77,951,novice,"['G', 'E', 'D', 'Bm', 'A7', 'A', 'Em']"
438,queen,dont stop me now,4.84,1580,,"['F7', 'F/G', 'C', 'Am', 'Gm', 'Ab6/Bb', 'D7', 'F', 'Dm', 'C7', 'F/A', 'Gm7', 'Bdim', 'Dm7/C', 'Eb', 'Bb']"
439,joe anderson,hey jude,4.73,926,novice,"['Em7', 'G', 'C/E', 'D', 'G/F#', 'D7', 'A7', 'A']"
440,radiohead,fake plastic trees,4.74,760,,"['Bm7', 'D5', 'E6', 'E', 'Asus', 'F#m7', 'A']"
441,r e m ,everybody hurts,4.83,2660,,"['D/A', 'G', 'C', 'Am', 'D', 'F#', 'Bm', 'A', 'Em']"
442,keane,somewhere only we know,4.77,1987,,"['C', 'G', 'Am', 'F', 'Dm', 'Em']"
443,lana del rey,video games,4.79,576,novice,"['Dsus4', 'Ebaug', 'G', 'C', 'D', 'F', 'Bm', 'Em']"
444,billie eilish,lovely,4.84,2763,novice,"['C', 'Bm', 'Em']"
445,dire straits,sultans of swing,4.80,1864,novice,"['C', 'Dm', 'F', 'A7', 'A', 'Bb']"
446,katy perry,the one that got away,4.86,904,,"['B', 'E', 'C#m', 'G#m', 'A']"
447,the cure,friday im in love,4.85,2633,,"['G', 'C', 'D', 'Bm', 'A']"
448,one direction,you and i,4.84,913,novice,"['C', 'Am', 'G', 'F', 'D/F#', 'Em']"
449,dewa 19,kangen,4.79,176,novice,"['G', 'C', 'D', 'A/C#', 'F#', 'Bm', 'F#m', 'A', 'Em']"
450,elton john,can you feel the love tonight,4.85,2353,intermediate,"['G', 'G/D', 'C', 'C/E', 'D', 'Am', 'A/C#', 'F', 'D/F#', 'C/G', 'C/D', 'Am7', 'G/B', 'Em']"
451,britney spears,toxic,4.81,867,,"['F7', 'C', 'Am', 'G', 'D', 'Bb7', 'E7', 'B7']"
452,matisyahu,one day,4.87,985,,"['C', 'Am', 'G', 'F']"
453,ronan keating,when you say nothing at all,4.65,348,,"['Dsus4', 'G', 'C', 'B', 'E', 'D', 'Bm', 'A', 'Em']"
454,james taylor,youve got a friend,4.74,1360,,"['F7', 'C', 'G', 'G/C', 'B7', 'Em7', 'D', 'D7', 'Am7', 'Em', 'Bm7', 'Gsus4', 'Gmaj7', 'Cmaj7', 'D7sus4', 'F', 'F#m7', 'Dsus2', 'A7']"
455,taylor swift,red,4.86,975,novice,"['F', 'Am', 'C', 'G']"
456,the beatles,let it be,4.85,2865,intermediate,"['C', 'Am', 'G', 'Dm', 'F', 'Em']"
457,israel kamakawiwoole,over the rainbow,4.81,2408,novice,"['C', 'G/D', 'G', 'C/E', 'D', 'Bm', 'B7', 'Em']"
458,lil nas x,old town road,4.81,4684,novice,"['G', 'A', 'E', 'D']"
459,tenacious d,fuck her gently,4.86,1772,,"['G', 'C', 'D', 'Bb7', 'Bm', 'F#m', 'A', 'Em']"
460,janis joplin,me and bobby mcgee,4.79,1644,,"['G', 'C', 'G7', 'D', 'D7', 'E7', 'C/G', 'A7', 'A']"
461,hoobastank,the reason,4.66,633,,"['Aadd9', 'E', 'C#m', 'Badd11', 'Dsus2', 'E5']"
462,bob dylan,blowin in the wind,4.76,3226,novice,"['G', 'C', 'D']"
463,louis armstrong,what a wonderful world,4.85,4569,novice,"['C', 'Am', 'G', 'Dm', 'F', 'E7', 'Em']"
464,james blunt,youre beautiful,4.66,974,,"['C', 'Am', 'C/B', 'G', 'F']"
465,simon garfunkel,bridge over troubled water,4.73,1132,novice,"['G9', 'D9', 'C', 'Am', 'G', 'E', 'G7', 'D', 'F#dim', 'D7', 'F', 'C7', 'E7', 'Fm', 'A7sus', 'Fmaj7', 'A7', 'Bb']"
466,chris tomlin,here i am to worship,4.82,1747,,"['G', 'D', 'A/C#', 'Bm', 'D/F#', 'A', 'Em']"
467,bob marley,no woman no cry,4.66,1146,,"['C', 'Am', 'G', 'F', 'G/B']"
468,maroon 5,she will be loved,4.86,2534,novice,"['G', 'Am', 'C', 'F']"
469,niall horan,this town,4.89,3454,,"['Em7', 'G', 'C', 'D', 'G/F#', 'D/F#', 'Cadd9', 'Am7', 'Em']"
470,wiz khalifa,see you again,4.83,591,intermediate,"['Em7', 'G', 'C', 'D', 'Cadd9', 'Em']"
471,the righteous brothers,unchained melody,4.84,2239,,"['C', 'Am', 'G', 'F', 'C7', 'Fm', 'Em', 'Eb']"
472,wiz khalifa,see you again,4.87,1713,novice,"['G', 'C', 'Em', 'D']"
473,benben,kathang isip,4.85,676,novice,"['CM7', 'Am', 'G', 'C', 'D', 'GM7', 'F', 'Bm', 'D/F#', 'G/B', 'Em']"
474,stephen speaks,passenger seat,4.65,111,,"['Dsus4', 'G', 'C', 'D', 'Dsus2', 'Em']"
475,eagles,hotel california,4.85,4410,novice,"['G', 'Am', 'C', 'E', 'D', 'D7', 'F', 'Dm', 'E7']"
476,parokya ni edgar,your song,4.76,260,novice,"['A', 'E', 'D', 'F#m']"
477,budi doremi,tolong,4.83,181,,"['Asus4', 'E', 'D', 'F#', 'Dm', 'Bm', 'C#m', 'F#m', 'A7', 'A']"
478,maroon 5,payphone,4.88,530,,"['C', 'Em', 'D', 'G']"
479,this band,kahit ayaw mo na,4.82,468,novice,"['G', 'D', 'Bm', 'F#m/C#', 'A']"
480,billie eilish,idontwannabeyouanymore,4.88,4327,,"['Cmaj7', 'Am', 'D', 'Emadd9', 'Dsus2', 'B7', 'Gmaj7', 'Em']"
481,justin timberlake,mirrors,4.82,660,novice,"['Bbdim', 'G', 'D', 'Bm', 'F#m', 'A', 'Em']"
482,all time low,remembering sunday,4.86,640,,"['Em7', 'G', 'D', 'Cadd9', 'A7', 'Em']"
483,bing crosby,white christmas,4.72,1575,,"['G', 'Am', 'C', 'D', 'G7', 'D7', 'Gsus4', 'Em', 'Cm']"
484,counting crows,accidentally in love,4.89,2132,,"['G', 'C', 'Am', 'D', 'A', 'Em']"
485,cyndi lauper,time after time,4.75,647,,"['C', 'G', 'Fadd9', 'F', 'Dm/C', 'Am7', 'Em']"
486,sheryl crow,sweet child o mine,4.33,517,,"['Bm7', 'G', 'Am', 'C', 'C/E', 'D', 'D7', 'F', 'Cadd9', 'Em']"
487,the chainsmokers,closer,4.83,1128,,"['D', 'Em7', 'Cadd9']"
488,jack johnson,better together,4.73,510,,[]
489,radiohead,no surprises,4.88,1898,,"['Asus4', 'Gm', 'D', 'G/B', 'Dm', 'A', 'Em']"
490,the beatles,blackbird,4.70,1592,intermediate,"['C#dim', 'G', 'C', 'Dadd4', 'Fadd9', 'Dbdim', 'Eb', 'Gm/Bb', 'D', 'Am7', 'G/B', 'Em', 'D#(b5)', 'C/D', 'F', 'Dm', 'A7', 'Dmadd4', 'Cm']"
491,miley cyrus,we cant stop,4.88,527,novice,"['C', 'Am', 'Em', 'F']"
492,rihanna,we found love,4.74,571,,"['F', 'Am', 'G', 'C']"
493,harry styles,sign of the times,4.87,2206,novice,"['C', 'Am', 'G', 'G7', 'F', 'C7', 'Dm', 'Dmin', 'Bb']"
494,the smiths,there is a light that never goes out,4.84,1309,,"['C', 'Am', 'G', 'Dm', 'F']"
495,the rolling stones,paint it black,4.83,1979,novice,"['G', 'B', 'D', 'A', 'Em']"
496,enrique iglesias,hero,4.84,1114,novice,"['G', 'B', 'C', 'E', 'D', 'A', 'Em']"
497,maroon 5,girls like you,4.81,1553,novice,"['C', 'Am', 'G', 'F']"
498,meghan trainor,all about that bass,4.71,517,novice,"['Bm', 'A', 'E', 'D']"
499,adele,hello,4.85,2490,novice,"['G', 'C', 'D', 'Bm', 'Em']"
500,tom odell,another love,4.85,1295,novice,"['C', 'Bm', 'Em', 'G']"
501,kansas,dust in the wind,4.81,4586,novice,"['Dm7', 'G5', 'Asus4', 'Asus2', 'C', 'Cmaj7', 'Am', 'G', 'D', 'Cadd9', 'G/B']"
502,bon jovi,wanted dead or alive,4.80,1080,,"['C', 'F', 'D', 'G']"
503,nirvana,about a girl,4.72,1032,,"['A5', 'C#', 'G', 'C', 'G#', 'E', 'F#', 'A', 'Em']"
504,simple plan,welcome to my life,4.78,848,,"['C', 'Am', 'G', 'Dm', 'F']"
505,the beatles,youve got to hide your love away,4.81,1535,intermediate,"['Dsus4', 'D/A', 'G', 'C', 'G/D', 'C/E', 'D', 'Fadd9', 'Dsus2', 'D/B', 'D/C']"
506,evanescence,my immortal,4.76,801,,"['E', 'D', 'Bm', 'C#m', 'F#m', 'A']"
507,maroon 5,sugar,4.68,585,,"['C', 'Am', 'Dm', 'F']"
508,hozier,take me to church,4.77,935,intermediate,"['G', 'Am', 'C', 'B', 'D', 'F#', 'F', 'C/G', 'Em', 'Cm']"
509,misc soundtrack,the wizard of oz somewhere over the rainbow,4.62,300,,"['Bm7', 'C', 'Cmaj7', 'G', 'C6', 'G7', 'G6', 'Fmaj7(b5)', 'F', 'C7', 'Fm', 'Dm', 'B7', 'Fmaj7', 'Csus', 'Em']"
510,oasis,half the world away,4.85,1940,novice,"['Fmaj', 'C', 'C/B', 'Am', 'E', 'D', 'G', 'G7', 'Fm']"
511,nirvana,come as you are,4.31,398,,"['F#sus4', 'E', 'D', 'Bm', 'F#m', 'A']"
512,the police,every breath you take,4.66,379,,"['Dadd9', 'Badd9', 'Eadd9', 'F#madd9', 'G', 'Aadd9', 'F', 'Cadd9']"
513,rivermaya,kisapmata,4.87,268,,"['G', 'Em', 'D', 'Asus2']"
514,alex sierra,little do you know,4.84,1924,novice,"['C', 'Am', 'G', 'F', 'Dm', 'Gsus']"
515,bon jovi,bed of roses,4.82,810,novice,"['C', 'Am', 'F', 'Dm', 'Bb']"
516,eraserheads,pare ko,4.82,255,,"['G', 'C', 'Am', 'C/B', 'D', 'Dsus', 'Em']"
517,december avenue,kung di rin lang ikaw,4.85,462,intermediate,"['B', 'E', 'F#m', 'G#m', 'A', 'Amaj7']"
518,taylor swift,crazier,4.88,792,,"['G', 'C', 'Am', 'D', 'Bm', 'A', 'Em']"
519,paolo nutini,candy,4.83,1241,,"['G', 'Am', 'C', 'D7', 'Em']"
520,bon iver,i cant make you love me,4.78,768,novice,"['G', 'Am', 'C', 'F', 'Dm', 'Gsus']"
521,sublime,santeria,4.85,1727,intermediate,"['B', 'G#', 'E', 'C#m', 'A']"
522,ed sheeran,im a mess,4.84,1459,novice,"['G', 'Am', 'C', 'Dm', 'F']"
523,cory asbury,reckless love,4.88,3518,,"['C', 'Em', 'D', 'G']"
524,bill withers,lean on me,4.81,2673,,"['C', 'G', 'G7', 'F', 'Em']"
525,eric clapton,tears in heaven,4.81,1330,intermediate,"['G', 'C', 'Am', 'E', 'D', 'Gm', 'D7', 'Dm', 'Bm', 'E7', 'F', 'Em', 'Bb']"
526,howie day,collide,4.23,195,,"['G', 'G/B', 'Cadd9', 'Dadd11/F#']"
527,eraserheads,ang huling el bimbo,4.88,528,,"['G', 'C', 'D', 'A7', 'Em']"
528,my chemical romance,i dont love you,4.78,765,,"['F/E', 'G5', 'A5', 'C', 'Am', 'G', 'C/B', 'G/G#', 'F', 'A', 'F5']"
529,twenty one pilots,house of gold,4.88,3188,intermediate,"['C', 'G', 'Am', 'F', 'Dm', 'Bbm', 'A7']"
530,john lennon,imagine,4.81,1146,,"['C', 'Am', 'G', 'E', 'Em/C', 'F', 'Dm', 'E7']"
531,daniel caesar,best part,4.70,170,novice,"['Am', 'Bm', 'D', 'Gm']"
532,taio cruz,dynamite,4.78,388,novice,"['G', 'Am', 'C', 'F', 'Em']"
533,taylor swift,breathe,4.90,901,novice,"['Dsus4', 'Em7', 'D5', 'G', 'C', 'D', 'Cadd9', 'Em']"
534,billy joel,piano man,4.80,2799,intermediate,"['C', 'Am', 'G', 'E', 'G7', 'D', 'D7', 'F', 'B7', 'F#m', 'A']"
535,rihanna,take a bow,4.83,511,,"['Dm7', 'C', 'G', 'C/E', 'Fadd9', 'F', 'Am7', 'G/B', 'Bbsus2']"
536,backstreet boys,i want it that way,4.83,1689,intermediate,"['C', 'B', 'G', 'G/D', 'D', 'Am', 'E', 'F#m', 'A', 'Em']"
537,john mayer,slow dancing in a burning room,4.88,1205,intermediate,"['C#m7', 'G', 'B', 'F#m11', 'E', 'D', 'Aadd9', 'Badd11', 'A']"
538,taylor swift,sparks fly,4.87,699,novice,"['F', 'Am', 'G', 'C']"
539,kevin devine,you are my sunshine,4.78,212,intermediate,"['A', 'E', 'D']"
540,kelly clarkson,because of you,4.41,260,,"['C', 'G', 'Dsus', 'Dadd4', 'Bm', 'B7', 'G5', 'Esus', 'E', 'D', 'F#m', 'Am7', 'G/B', 'Em', 'E5', 'Bm7', 'A/C#', 'C2', 'C#7', 'D5', 'Cmaj7', 'E7', 'Dsus2', 'Dmaj7', 'Dadd2']"
541,ronan keating,when you say nothing at all,4.80,1171,novice,"['Asus2', 'G', 'B', 'E', 'D', 'Cadd9', 'Em']"
542,fools garden,lemon tree,4.81,935,,"['G', 'Am', 'C', 'D', 'D7', 'Bm', 'Bbm', 'Cadd9', 'B7', 'C/G', 'A7', 'Em']"
543,housefires,good good father,4.77,1026,novice,"['G', 'C', 'Am7', 'D', 'Gsus4', 'G/B', 'Em']"
544,up dharma down,tadhana,4.71,124,novice,"['G', 'Bm', 'F#m', 'A', 'Em']"
545,neutral milk hotel,in the aeroplane over the sea,4.92,2105,,"['G', 'C', 'Em', 'D']"
546,tamia,officially missing you,4.74,150,,"['Bm7', 'Dm7', 'A7/E', 'Em7', 'FM7', 'C#dim', 'CM7', 'G', 'G7', 'GM7', 'CM7/B', 'Dm', 'Bm', 'B7', 'F#m', 'C/D', 'Am7', 'Em']"
547,katy perry,thinking of you,4.28,96,novice,"['A', 'B', 'C#m', 'E']"
548,fiersa besari,april,4.84,59,,"['G', 'Am', 'E', 'D', 'A/C#', 'D7', 'F#', 'Bm', 'F#m', 'A', 'Em']"
549,the red jumpsuit apparatus,your guardian angel,4.76,643,novice,"['C', 'C/E', 'F', 'Dm', 'Bb']"
550,cee lo green,fuck you,4.74,510,,"['C', 'Am', 'G', 'D7', 'F', 'Dm', 'Bdim7', 'Em', 'C#dim7']"
551,james bay,hold back the river,4.83,1161,,"['Dm7', 'C', 'Gm', 'F', 'Bb']"
552,prince,purple rain,4.64,614,,"['Gm', 'F', 'Bbadd9/D', 'Gm7', 'Gm7add11', 'Eb', 'Bbsus2', 'Bb']"
553,taylor swift,enchanted,4.89,850,,"['Em7', 'G', 'Bm/F#', 'D/F#', 'Csus2']"
554,parokya ni edgar,gitara,4.66,166,,"['G', 'C', 'E', 'D', 'D/F#', 'Am7', 'G/B', 'Em']"
555,bob dylan,the times they are a changin,4.87,2948,,"['D6', 'G', 'C', 'Am', 'D', 'D7', 'Em']"
556,misc cartoons,aladdin a whole new world,4.77,740,,"['C', 'G', 'Am', 'D7', 'F', 'Dm', 'E7']"
557,lady gaga,born this way,4.76,391,novice,"['Bm7', 'Asus2', 'D5', 'A5', 'E', 'D', 'Asus', 'Bm', 'Em', 'E5', 'A', 'Amaj7']"
558,pearl jam,last kiss,4.87,2831,,"['G', 'C', 'Em', 'D']"
559,dixie chicks,landslide,4.79,1223,,"['D7/F#', 'C', 'G', 'D7', 'D/F#', 'Am7', 'Em']"
560,rihanna,umbrella,4.76,841,,"['C', 'G', 'Am', 'E', 'F', 'C/G', 'Bb']"
561,lana del rey,blue jeans,4.89,1353,novice,"['D', 'Fm', 'A', 'Em', 'Eb', 'Bb']"
562,david bowie,starman,4.87,2269,,"['C', 'Bb', 'G', 'Am', 'Gm', 'D7', 'F', 'C7', 'Dm', 'Bbm', 'Fmaj7', 'A', 'Ab', 'Bb/A']"
563,taylor swift,all too well,4.93,2221,novice,"['C', 'Am', 'G', 'F']"
564,demi lovato,stone cold,4.81,1699,,"['C', 'G', 'Am', 'D', 'G7', 'Am7b5', 'Em', 'Cm']"
565,train,drive by,4.78,357,,"['B', 'G#', 'E', 'G#7', 'C#m', 'Cdim', 'F#m7', 'F#m', 'A']"
566,twenty one pilots,heathens,4.83,2192,novice,"['A5', 'E5', 'C', 'B', 'Am', 'E', 'C5', 'B5', 'Em']"
567,plain white ts,hey there delilah,4.81,2223,novice,"['C', 'Am', 'G', 'F', 'Em']"
568,anne marie,2002,4.85,1372,novice,"['G', 'D', 'Bm', 'F#m', 'A']"
569,westlife,i lay my love on you,4.72,46,,"['C#M', 'C', 'Am', 'G', 'E', 'D', 'B', 'Dm', 'F', 'Bm', 'F#m', 'A', 'Em']"
570,elvis presley,suspicious minds,4.78,1537,,"['G', 'C', 'D', 'D7', 'Bm', 'B7', 'B7sus4', 'Em']"
571,celine dion,my heart will go on,4.83,660,intermediate,"['G', 'C', 'Am', 'E', 'D', 'Dm', 'Bm', 'F', 'C#m', 'F#m', 'A', 'Em', 'Bb']"
572,rihanna,california king bed,4.67,211,novice,"['G', 'C', 'Am', 'D', 'D/F#', 'Csus2', 'G/B', 'Em']"
573,misc cartoons,tangled i see the light,4.82,866,,"['F7', 'Ab', 'C', 'G', 'Am', 'Gm', 'G7', 'D7', 'F', 'F9', 'Em', 'Eb/D', 'Eb', 'Cm', 'Bb']"
574,taylor swift,forever and always,4.88,725,,"['Em7', 'G', 'C', 'D', 'Cadd9', 'Em']"
575,tones and i,dance monkey,4.83,1474,,"['C#m', 'E', 'D', 'F#m']"
576,taylor swift,fearless,4.86,603,,"['Em7', 'G', 'D', 'Cadd9', 'A', 'Em']"
577,damien rice,9 crimes,4.88,1256,novice,"['F', 'Am', 'G', 'C']"
578,lord huron,the night we met,4.87,4031,novice,"['G', 'C', 'Em', 'D']"
579,ed sheeran,dive,4.88,673,novice,"['C', 'Am', 'G', 'F', 'Em']"
580,secondhand serenade,your call,4.74,163,,"['C', 'Em', 'D', 'G']"
581,john lennon,stand by me,4.77,469,,"['G', 'C', 'Em', 'D']"
582,ed sheeran,drunk,4.82,762,novice,"['D/A', 'G', 'C', 'D', 'D/F#', 'Em']"
583,alex clare,too close,4.88,926,,"['G', 'D', 'F#', 'Bm', 'Em']"
584,twenty one pilots,stressed out,4.81,1703,novice,"['C', 'Am', 'G', 'E', 'Dm', 'F', 'Em']"
585,avenged sevenfold,so far away,4.85,269,,"['G', 'C', 'Am', 'E', 'D', 'Bm', 'Em']"
586,nirvana,the man who sold the world,4.68,331,intermediate,"['C#', 'C', 'Dm', 'F', 'A']"
587,shontelle,impossible,4.87,360,novice,"['Bm7', 'Dsus4', 'G', 'C', 'D', 'Am7', 'Em']"
588,the red jumpsuit apparatus,your guardian angel,4.83,234,,"['G', 'C', 'D', 'Dadd11', 'Em']"
589,orange and lemons,hanggang kailan,4.62,102,,"['G', 'C9', 'F-', 'F', 'G-', 'Em', 'Cm']"
590,eric clapton,layla,4.84,1877,,"['C#m7', 'C', 'B', 'E', 'D', 'Dm', 'G#7', 'E7', 'F#m', 'A', 'Bb']"
591,ray charles,hit the road jack,4.81,882,,"['G', 'Am', 'E7', 'F']"
592,one direction,one thing,4.66,508,novice,"['C', 'Am', 'G', 'F']"
593,tab,759410,4.82,419,,"['Bm', 'A', 'D', 'F#m']"
594,van morrison,brown eyed girl,4.66,623,,"['G', 'C', 'D', 'D7', 'Em']"
595,elvis presley,love me tender,4.79,552,,"['F#7', 'G', 'D', 'Gm', 'D7', 'Bm', 'E7', 'B7', 'A7']"
596,frank sinatra,fly me to the moon,4.76,454,novice,"['C', 'G', 'F/C', 'Dm', 'Am7', 'Em']"
597,johnny cash,i walk the line,4.61,635,,"['G', 'B', 'E', 'D', 'B7', 'A']"
598,the fray,over my head,4.83,860,intermediate,"['Em7', 'C', 'Am', 'G', 'D', 'G/F#', 'Em']"
599,nick jonas,introducing me,4.87,1008,novice,"['G', 'C', 'Am', 'D', 'Bm', 'A', 'Em']"
600,foster the people,pumped up kicks,4.81,1051,novice,"['G', 'A', 'Em', 'D']"
601,britney spears,baby one more time,4.70,934,,"['G#dim', 'C', 'Am', 'G', 'E', 'Dm', 'F']"
602,van morrison,brown eyed girl,4.82,5601,novice,"['G', 'C', 'D', 'D7', 'Em']"
603,oasis,champagne supernova,4.76,165,,"['Asus2/E', 'Asus2/F#', 'Asus2', 'G', 'E', 'D', 'F', 'D/F#', 'Asus2/G', 'A']"
604,tab,511322,4.62,354,novice,"['G', 'F#7', 'Bm', 'Gm7', 'E', 'D', 'D7', 'A7sus4', 'Am7', 'A', 'Bm7', 'C#m7/B', 'C#m7', 'B', 'G#7', 'B7sus4', 'E7', 'C#m', 'A7']"
605,arijit singh,tum hi ho,4.77,346,novice,"['C', 'Am', 'G', 'D', 'Bm', 'B7', 'Em']"
606,hillsong worship,mighty to save,4.64,486,intermediate,"['Em7', 'C', 'G', 'D', 'Em']"
607,alanis morissette,ironic,4.82,1652,novice,"['G', 'C', 'Cmaj7', 'D', 'F', 'Em']"
608,ed sheeran,give me love,4.75,142,intermediate,"['G', 'Am', 'C', 'F', 'Dm']"
609,billie eilish,wish you were gay,4.86,4202,intermediate,"['G', 'Am', 'Em', 'D7']"
610,paolo nutini,last request,4.83,1386,,"['G', 'Am', 'D', 'Bm', 'F#m', 'A', 'Em']"
611,rivermaya,hinahanap hanap kita,4.81,180,,"['Dsus4', 'G', 'Am', 'D', 'A', 'Em', 'Bb']"
612,neil young,harvest moon,4.58,32,,"['Cmaj9', 'G', 'C', 'Gm', 'Bm', 'D/C', 'C5', 'Em7', 'A5', 'E', 'D', 'F#m', 'Bb/D', 'A', 'Bb5', 'Em', 'Bb', 'FM7', 'Bm7', 'C(add9)', 'Am', 'B', 'D#', 'Csus2', 'C/D', 'H', 'Dm7', 'Dsus4', 'F', 'Dm', 'DM7']"
613,the beatles,here comes the sun,4.56,390,intermediate,"['Dadd9', 'C', 'G', 'D', 'G6', 'F', 'E7', 'A7sus', 'A7', 'Gmaj7']"
614,the beatles,a day in the life,4.83,2304,intermediate,"['Em7', 'Asus2', 'G', 'C', 'C/B', 'E', 'D', 'F', 'Bm', 'Dsus2', 'B7', 'B7sus4', 'A', 'Em']"
615,naif,benci untuk mencinta,4.66,44,,"['G', 'C', 'B', 'Gm', 'D', 'F#', 'D7', 'Bm', 'C#m', 'Dmaj7', 'F#m', 'A', 'Em', 'D#m']"
616,near indonesia,karna su sayang,4.74,142,,"['C', 'Am', 'G', 'F', 'Dm', 'Em']"
617,ariana grande,almost is never enough,4.61,211,novice,"['G', 'Am', 'E', 'D', 'Gm', 'F#', 'Bm', 'A#', 'Bbaug', 'A']"
618,simon garfunkel,mrs robinson,4.76,629,intermediate,"['Am7/G', 'G', 'C', 'Am', 'E', 'D', 'C/B', 'G/B', 'E7', 'A7', 'Am7', 'A', 'Em']"
619,lifehouse,you and me,4.88,1431,novice,"['Em7', 'Dsus4', 'G', 'C', 'Am', 'D', 'Dsus', 'A7sus4', 'Dsus4/F#', 'Bm', 'Cadd9', 'G/B', 'Cm']"
620,luis fonsi,despacito,4.82,144,intermediate,"['C', 'Em', 'D', 'G']"
621,simon garfunkel,the sound of silence,4.81,678,,"['G', 'Am', 'C', 'F']"
622,led zeppelin,stairway to heaven,4.76,920,intermediate,"['Dsus4', 'C', 'Am', 'G', 'D', 'F', 'Dsus2', 'Cadd9', 'E+', 'Em']"
623,side a,forevermore,4.76,156,novice,"['C', 'B', 'Am', 'E', 'B/D#', 'D', 'F#', 'G', 'G/B', 'E7', 'C#m', 'C#m/B', 'G#m', 'F#m', 'B9/C', 'B7', 'A', 'Em']"
624,milow,you dont know,4.83,337,intermediate,"['C', 'Am', 'G', 'E', 'F', 'E7']"
625,mgmt,kids,4.82,359,,"['E', 'D', 'F#', 'Bm', 'F#m', 'G#m', 'A', 'E/G#']"
626,eagles,lyin eyes,4.82,2788,novice,"['F/G', 'G', 'Am', 'C', 'D', 'D7', 'Bm', 'A7', 'Gmaj7', 'Em']"
627,rivermaya,214,4.77,310,,"['G', 'C', 'Am', 'E', 'D', 'Bm', 'A', 'Em']"
628,ed sheeran,thinking out loud,4.83,705,novice,"['G', 'D', 'Bm', 'D/F#', 'A7', 'A', 'Em']"
629,elevation worship,o come to the altar,4.87,3270,novice,"['G', 'C', 'G/F', 'Am7', 'Em']"
630,bob dylan,blowin in the wind,4.52,223,,"['C', 'D', 'G']"
631,miley cyrus,when i look at you,4.86,517,intermediate,"['C', 'Am', 'Dm', 'F', 'A#']"
632,paramore,still into you,4.88,1218,novice,"['C', 'Am', 'G', 'F']"
633,tab,1148667,4.84,236,novice,"['G', 'Bm', 'A', 'D']"
634,elton john,rocket man,4.81,2681,intermediate,"['Em7', 'C', 'Am', 'G', 'D', 'A9']"
635,3 doors down,here without you,4.81,1442,,"['G', 'Bm', 'A', 'D']"
636,rihanna,fourfiveseconds,4.71,474,novice,"['Asus4', 'G', 'D', 'Bm', 'F#m', 'A', 'Em']"
637,soul asylum,runaway train,4.84,2038,,"['Em/B', 'C', 'Am', 'G', 'F', 'Em']"
638,bon jovi,always,4.61,201,,"['G', 'B', 'E', 'D', 'Bm', 'C#m', 'A']"
639,queen,we are the champions,4.61,360,,"['F7', 'Ab6', 'C7/G', 'Bb7', 'F#dim7', 'Bbm7b5', 'Gm7', 'Gm7/C', 'Eb', 'Cm7add4', 'Bbm6/Db', 'Edim7', 'Ab/Eb', 'C7', 'Bb/D', 'Bb', 'Am', 'Ab/Bb', 'Bbm6', 'Fm', 'F', 'Dm', 'Gm7/F', 'Gdim7', 'Ebadd9/G', 'Cm']"
640,sara bareilles,love song,4.63,250,,"['A(maj)', 'C', 'Am', 'Gm', 'Dm', 'F', 'G/B', 'Bb']"
641,westlife,more than words,4.74,186,novice,"['G', 'C', 'Am', 'D', 'G7', 'Em', 'Cm']"
642,arctic monkeys,do i wanna know,4.89,1834,novice,"['C', 'B', 'Am', 'D', 'Em']"
643,jireh lim,buko,4.61,79,,"['B', 'E', 'D', 'F#', 'Dm', 'Bm', 'C#m', 'F#m', 'A', 'D#m']"
644,oasis,champagne supernova,4.86,865,,"['Asus2/E', 'Em7', 'Asus2/F#', 'Asus2', 'G', 'E', 'Dmaj7/F#', 'D', 'A7sus4', 'F', 'Asus2/G', 'F#m', 'A7', 'A']"
645,boys like girls,thunder,4.71,142,,"['Em/D', 'F#m/D', 'Bm/D', 'G/D', 'A/D', 'D', 'C#/D']"
646,lp,lost on you,4.83,1398,novice,"['Em7', 'C', 'Am', 'D', 'Em']"
647,boston,more than a feeling,4.77,492,,"['G', 'C', 'Bm', 'Bm/A', 'Eb', 'Em7', 'E', 'D', 'D/F#', 'G/B', 'A', 'Em', 'Asus4', 'B', 'Am', 'A/C#', 'Am/G', 'Dsus4', 'Cadd9', 'A2']"
648,red hot chili peppers,snow hey oh,4.82,1007,intermediate,"['C', 'Am', 'G', 'D', 'Em']"
649,jesus culture,one thing remains,4.80,697,novice,"['CM9', 'Em7', 'G', 'C', 'D', 'Dsus', 'Cadd9', 'Am7', 'G/B']"
650,pink floyd,wish you were here,4.82,2237,intermediate,"['G', 'C', 'Am', 'D', 'A', 'Em']"
651,hillsong united,lead me to the cross,4.70,544,,"['G', 'D', 'Bm', 'A', 'Em']"
