,Artists,Songs,Rating,Votes,Difficulty,Chords
148,death cab for cutie,i will follow you into the dark,4.79,1003,,"['C', 'E', 'Dm', 'F', 'Bbm', 'A', 'Bb']"
149,linkin park,numb,4.88,2792,,"['Bm7', 'C', 'G', 'B', 'D', 'D/F#', 'Bsus4', 'Em']"
150,lifehouse,you and me,4.64,631,,"['Cm/F', 'G', 'C', 'Am', 'Cm/D', 'D', 'G/F#', 'Bm', 'G/B', 'Em', 'Cm/Eb', 'Cm']"
151,johnny cash,ring of fire,4.80,4336,,"['G', 'C', 'D']"
152,adam levine,lost stars,4.80,707,,"['G', 'C', 'D', 'Dm', 'Fmaj7', 'Em']"
153,the beatles,hey jude,4.87,4790,intermediate,"['F7', 'G', 'C', 'D', 'G7', 'Gm', 'D7', 'C7', 'Bm', 'F', 'Dm', 'A7', 'A', 'Em', 'Eb', 'Bb']"
154,pixies,where is my mind,4.87,2378,,"['Am', 'G#', 'E', 'B', 'C#m', 'A']"
155,bill withers,aint no sunshine,4.82,8156,intermediate,"['Dm', 'Am', 'Em/G', 'Em']"
156,israel kamakawiwoole,over the rainbow what a wonderful world,4.75,1160,,"['Bm7', 'Em7/D', 'D/A', 'Em/B', 'G', 'C', 'C/B', 'D', 'D/F#', 'G/B', 'Em']"
157,mumford sons,i will wait,4.85,2772,novice,"['Em7', 'C', 'Am', 'G', 'F', 'Em', 'G2']"
158,carly rae jepsen,call me maybe,4.00,489,,"['G', 'C', 'Em', 'D']"
159,hozier,take me to church,4.82,4088,novice,"['G', 'Am', 'C', 'D', 'F#', 'F', 'B7', 'Em', 'Cm']"
160,camila cabello,havana,4.77,1529,novice,"['C', 'Em', 'B7']"
161,taylor swift,back to december,4.90,1433,novice,"['Dsus4', 'G', 'D', 'Bm', 'F#m', 'A']"
162,john denver,take me home country roads,4.86,9577,,"['G', 'G/D', 'C', 'D', 'D7', 'F', 'D/F#', 'Em']"
163,nirvana,smells like teen spirit,4.60,1407,,"['G', 'C', 'A', 'E']"
164,meghan trainor,like im gonna lose you,4.82,2403,novice,"['C', 'Am', 'G', 'C/E', 'Dm', 'F', 'Em']"
165,jason mraz,im yours,4.30,332,,"['E', 'D', 'Bm', 'C#m', 'B7', 'F#m', 'Dmaj7', 'A']"
